,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
0,0.32,-0.36,0.0,0.0,-0.01,0.0,0,0.0,0,-0.011426597833633423,0.0006343078566715121
1,0.56,0.12,0.0,0.36,-0.28,0.0,100,-28.0,100,-0.006797704582727472,0.017540704695112687
2,0.64,0.28,0.0,0.48,-0.04,0.0,200,-32.0,200,0.0033627584607963377,0.01706614229646128
3,0.64,0.28,0.0,0.47,-0.06,0.0,300,-38.0,300,0.003365003949518664,0.034932305237601824
4,0.44,-0.12,0.0,0.5,0.0,0.0,400,-38.0,400,0.002368660558207361,0.01751376951686359
5,0.44,-0.12,0.0,0.46,-0.08,0.0,500,-46.0,500,0.008328923936287666,0.017683805096078854
6,0.56,0.12,0.0,0.46,-0.08,0.0,600,-54.0,600,-0.0005090225494105101,0.017807502795611815
7,0.56,0.12,0.0,0.49,-0.02,0.0,700,-56.0,700,0.004922642558320983,0.0004885921566284236
8,0.4,-0.2,0.0,0.47,-0.06,0.0,800,-64.0,800,0.003311388306278307,0.05159220077260971
9,0.52,0.04,0.0,0.5,0.0,0.0,900,-64.0,900,0.006215209421913892,0.0004842107407944946
10,0.52,0.04,0.0,0.52,0.04,0.0,1000,-58.0,1000,0.008026891871951039,0.01615003455549012
11,0.4,-0.2,0.0,0.52,0.04,0.0,1100,-56.0,1100,0.005011463566967724,0.016509213450018396
12,0.52,0.04,0.0,0.51,0.02,0.0,1200,-52.0,1200,0.009153293919017121,0.030925883554853817
13,0.4,-0.2,0.0,0.63,0.26,0.0,1300,-26.0,1300,0.009763794842268947,0.003951991353619546
14,0.44,-0.12,0.0,0.41,-0.18,0.0,1400,-46.0,1400,0.006546594916881709,0.03358474535825236
15,0.44,-0.12,0.0,0.55,0.1,0.0,1500,-36.0,1500,0.007266372175872723,0.0005214315298528457
16,0.44,-0.12,0.0,0.56,0.12,0.0,1600,-24.0,1600,0.007406405784329786,0.01632277094775185
17,0.52,0.04,0.0,0.5,0.0,0.0,1700,-22.0,1700,0.006728066339103208,0.0005021585860129088
18,0.52,0.04,0.0,0.48,-0.04,0.0,1800,-26.0,1800,0.009141836990343486,0.01675928469919787
19,0.56,0.12,0.0,0.43,-0.14,0.0,1900,-42.0,1900,-0.0038749216907135167,0.0004798577726135949
20,0.48,-0.04,0.0,0.43,-0.14,0.0,2000,-54.0,2000,0.006258957326854874,0.016776775065439144
21,0.24,-0.52,0.0,0.6,0.2,0.0,2100,-36.0,2100,0.008803403958210703,0.017260540418812306
22,0.56,0.12,0.0,0.42,-0.16,0.0,2200,-52.0,2200,0.008758953475955556,0.025623703671532036
23,0.64,0.28,0.0,0.48,-0.04,0.0,2300,-54.0,2300,0.003936492369099214,0.023939807020699668
24,0.44,-0.12,0.0,0.5,0.0,0.0,2400,-56.0,2400,-0.000510258989401747,0.0004679802820359915
25,0.36,-0.28,0.0,0.49,-0.02,0.0,2500,-56.0,2500,0.00478908826587852,0.05114402309692974
26,0.6,0.2,0.0,0.51,0.02,0.0,2600,-54.0,2600,0.00696288142098826,0.0004754249480844427
27,0.52,0.04,0.0,0.53,0.06,0.0,2700,-50.0,2700,0.007738179466203774,0.05181077625399884
28,0.48,-0.04,0.0,0.48,-0.04,0.0,2800,-52.0,2800,0.006991454639589405,0.06797926589974297
29,0.48,-0.04,0.0,0.41,-0.18,0.0,2900,-70.0,2900,0.0015600481338346169,0.00052205092483937
30,0.48,-0.04,0.0,0.4,-0.2,0.0,3000,-92.0,3000,-0.0015428331854242098,0.01614355915124839
31,0.44,-0.12,0.0,0.62,0.24,0.0,3100,-68.0,3100,0.007567329769716571,0.03208068590692266
32,0.6,0.2,0.0,0.49,-0.02,0.0,3200,-70.0,3200,0.009249608355911461,0.03310268179733872
33,0.36,-0.28,0.0,0.49,-0.02,0.0,3300,-70.0,3300,0.006759831792771434,0.000456895360603019
34,0.48,-0.04,0.0,0.46,-0.08,0.0,3400,-78.0,3400,0.002940226998045976,0.04845431248200614
35,0.32,-0.36,0.0,0.51,0.02,0.0,3500,-78.0,3500,0.007070581147484319,0.0004919782654291301
36,0.52,0.04,0.0,0.44,-0.12,0.0,3600,-88.0,3600,-0.0014049500497989506,0.03277270513541029
37,0.48,-0.04,0.0,0.58,0.16,0.0,3700,-72.0,3700,0.007718634292636288,0.016804338245478993
38,0.52,0.04,0.0,0.48,-0.04,0.0,3800,-78.0,3800,0.007484446269026615,0.03206282989896857
39,0.48,-0.04,0.0,0.51,0.02,0.0,3900,-76.0,3900,0.003896727482732296,0.016633634729488478
40,0.52,0.04,0.0,0.58,0.16,0.0,4000,-60.0,4000,0.00844745957479245,0.016735755491047537
41,0.52,0.04,0.0,0.58,0.16,0.0,4100,-44.0,4100,0.012550315043578545,0.0005618769468344659
42,0.48,-0.04,0.0,0.45,-0.1,0.0,4200,-52.0,4200,0.004486331555203466,0.015940834462066907
43,0.48,-0.04,0.0,0.5,0.0,0.0,4300,-52.0,4300,0.00743378343591337,0.03385940373673147
44,0.6,0.2,0.0,0.45,-0.1,0.0,4400,-62.0,4400,0.002714326958696528,0.0004619264470844845
45,0.44,-0.12,0.0,0.57,0.14,0.0,4500,-50.0,4500,0.007356676356366386,0.00043925886555719296
46,0.56,0.12,0.0,0.48,-0.04,0.0,4600,-52.0,4600,0.005839795081625746,0.0003809887787075535
47,0.44,-0.12,0.0,0.49,-0.02,0.0,4700,-56.0,4700,0.00427999430569833,0.0004191910801154406
48,0.56,0.12,0.0,0.46,-0.08,0.0,4800,-64.0,4800,-0.0001961416207620355,0.09895794009625221
49,0.44,-0.12,0.0,0.5,0.0,0.0,4900,-62.0,4900,0.006363137282815151,0.01670143702918307
50,0.52,0.04,0.0,0.51,0.02,0.0,5000,-62.0,5000,0.00897640269775594,0.00044343739169455643
51,0.56,0.12,0.0,0.49,-0.02,0.0,5100,-64.0,5100,0.0057842744765874135,0.03508707402247538
52,0.64,0.28,0.0,0.5,0.0,0.0,5200,-62.0,5200,0.0035130199230246767,0.016998373560934428
53,0.2,-0.6,0.0,0.55,0.1,0.0,5300,-52.0,5300,0.005436319846240928,0.017268702652278166
54,0.6,0.2,0.0,0.5,0.0,0.0,5400,-54.0,5400,0.0068495462476057915,0.01703089595106583
55,0.6,0.2,0.0,0.46,-0.08,0.0,5500,-60.0,5500,0.005050222316971934,0.01630727339272394
56,0.68,0.36,0.0,0.5,0.0,0.0,5600,-60.0,5600,-0.001593489871470464,0.000424193486431096
57,0.44,-0.12,0.0,0.49,-0.02,0.0,5700,-64.0,5700,0.005135510091628283,0.0004743866008090668
58,0.4,-0.2,0.0,0.51,0.02,0.0,5800,-62.0,5800,0.004511497205979398,0.03258467957662106
59,0.4,-0.2,0.0,0.49,-0.02,0.0,5900,-62.0,5900,0.005364202944555372,0.00043656916943493547
60,0.52,0.04,0.0,0.43,-0.14,0.0,6000,-76.0,6000,0.0028209614220172383,0.017530978286061906
61,0.52,0.04,0.0,0.46,-0.08,0.0,6100,-86.0,6100,0.003388829297447617,0.017111942419423442
62,0.44,-0.12,0.0,0.5,0.0,0.0,6200,-86.0,6200,0.008024283272368003,0.04719082115639097
63,0.4,-0.2,0.0,0.51,0.02,0.0,6300,-82.0,6300,0.007555842163179491,0.0175280646235285
64,0.36,-0.28,0.0,0.45,-0.1,0.0,6400,-92.0,6400,0.001785031631979334,0.01636774673763615
65,0.44,-0.12,0.0,0.53,0.06,0.0,6500,-88.0,6500,0.006799641179828217,0.00044718056818309664
66,0.6,0.2,0.0,0.53,0.06,0.0,6600,-80.0,6600,0.007682639096481651,0.03393919150092314
67,0.48,-0.04,0.0,0.53,0.06,0.0,6700,-76.0,6700,0.006004441795456564,0.01767150637076441
68,0.32,-0.36,0.0,0.42,-0.16,0.0,6800,-90.0,6800,0.0007595361743859925,0.000449391001100403
69,0.6,0.2,0.0,0.46,-0.08,0.0,6900,-100.0,6900,0.005526681054378267,0.000490977326038724
70,0.4,-0.2,0.0,0.47,-0.06,0.0,7000,-104.0,7000,0.004186878000272969,0.017256703007790423
71,0.48,-0.04,0.0,0.49,-0.02,0.0,7100,-106.0,7100,0.006068196890016697,0.016749402186845938
72,0.52,0.04,0.0,0.57,0.14,0.0,7200,-92.0,7200,0.006660945804534973,0.03326133455457605
