,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
0,0.4,-0.2,0.0,0.0,-0.01,0.0,0,0.0,0,1.3933037161617212,0.053727989975324277
1,0.72,0.44,0.0,0.5,0.0,0.0,100,0.0,100,0.12905811318052246,0.03164696370558361
2,0.56,0.12,0.0,0.51,0.02,0.0,200,0.0,200,0.3463291010730367,0.03995493840729752
3,0.44,-0.12,0.0,0.53,0.06,0.0,300,6.0,300,0.9157840669990519,0.047828528522958824
4,0.56,0.12,0.0,0.53,0.06,0.0,400,12.0,400,1.399814305802358,0.045547156950459106
5,0.32,-0.36,0.0,0.5,0.0,0.0,500,14.0,500,1.8105769602692947,0.04659557069672559
6,0.48,-0.04,0.0,0.44,-0.12,0.0,600,0.0,600,2.008744676972745,0.048458019297702486
7,0.6,0.2,0.0,0.44,-0.12,0.0,700,-10.0,700,2.2402428727821,0.05608403715672661
8,0.6,0.2,0.0,0.55,0.1,0.0,800,0.0,800,2.3456903866987457,0.051680127459889286
9,0.4,-0.2,0.0,0.44,-0.12,0.0,900,-14.0,900,2.282973583313782,0.05789439448607841
10,0.8,0.6,0.0,0.55,0.1,0.0,1000,-2.0,1000,2.2671270755179442,0.05026444443090716
11,0.52,0.04,0.0,0.57,0.14,0.0,1100,10.0,1100,2.263895270537071,0.049224319986192144
12,0.64,0.28,0.0,0.56,0.12,0.0,1200,24.0,1200,2.222851905213955,0.04862926705015214
13,0.56,0.12,0.0,0.62,0.24,0.0,1300,48.0,1300,2.2198697944786834,0.04570200373661301
14,0.8,0.6,0.0,0.53,0.06,0.0,1400,52.0,1400,2.245319418774252,0.05171821356559305
15,0.56,0.12,0.0,0.5,0.0,0.0,1500,54.0,1500,2.1607160425669774,0.05237405820831199
16,0.8,0.6,0.0,0.52,0.04,0.0,1600,56.0,1600,2.225803489458594,0.052810005064783026
17,0.52,0.04,0.0,0.58,0.16,0.0,1700,72.0,1700,2.180700061230864,0.04757727317341927
18,0.6,0.2,0.0,0.59,0.18,0.0,1800,90.0,1800,2.2251880883697934,0.048811312988129164
19,0.76,0.52,0.0,0.58,0.16,0.0,1900,106.0,1900,2.1634709012408697,0.047549266970481445
20,0.68,0.36,0.0,0.49,-0.02,0.0,2000,106.0,2000,2.1891504798598733,0.05440595234209954
21,0.52,0.04,0.0,0.65,0.3,0.0,2100,134.0,2100,2.1207400140876906,0.042300811961198816
22,0.64,0.28,0.0,0.6,0.2,0.0,2200,156.0,2200,2.16145991340181,0.047840383427426005
23,0.6,0.2,0.0,0.63,0.26,0.0,2300,180.0,2300,2.1524174930027984,0.04468825973486683
24,0.44,-0.12,0.0,0.65,0.3,0.0,2400,212.0,2400,2.177429213143601,0.04605531181642109
25,0.6,0.2,0.0,0.64,0.28,0.0,2500,238.0,2500,2.181642205395306,0.04673805004308001
26,0.56,0.12,0.0,0.72,0.44,0.0,2600,284.0,2600,2.0578435124481866,0.03801408145182226
27,0.88,0.76,0.0,0.6,0.2,0.0,2700,302.0,2700,2.153694413731588,0.04763779605790151
28,0.32,-0.36,0.0,0.57,0.14,0.0,2800,316.0,2800,2.127393967816963,0.04865106390367518
29,0.52,0.04,0.0,0.57,0.14,0.0,2900,332.0,2900,2.050706657806321,0.047351185215354384
30,0.68,0.36,0.0,0.61,0.22,0.0,3000,352.0,3000,2.084058840974559,0.04408266699985698
31,0.52,0.04,0.0,0.64,0.28,0.0,3100,382.0,3100,2.117635607392509,0.04334828711049507
32,0.76,0.52,0.0,0.65,0.3,0.0,3200,410.0,3200,2.15325078605817,0.04443396086022611
33,0.6,0.2,0.0,0.57,0.14,0.0,3300,424.0,3300,2.1390151482186446,0.050038284926086515
34,0.64,0.28,0.0,0.68,0.36,0.0,3400,460.0,3400,2.240547017395756,0.04504910378808032
35,0.6,0.2,0.0,0.56,0.12,0.0,3500,472.0,3500,2.1856323155040447,0.05193389354534344
36,0.6,0.2,0.0,0.58,0.16,0.0,3600,488.0,3600,2.271120112923582,0.053106458147542376
37,0.56,0.12,0.0,0.59,0.18,0.0,3700,508.0,3700,2.2197050116294808,0.05071033789136713
38,0.56,0.12,0.0,0.63,0.26,0.0,3800,532.0,3800,2.151367693144216,0.04558551633696367
39,0.68,0.36,0.0,0.62,0.24,0.0,3900,558.0,3900,2.2165624767503758,0.049007093431336864
40,0.68,0.36,0.0,0.63,0.26,0.0,4000,584.0,4000,2.204410742836919,0.04688058621382492
41,0.76,0.52,0.0,0.62,0.24,0.0,4100,608.0,4100,2.1908792268515778,0.04731222807514426
42,0.72,0.44,0.0,0.6,0.2,0.0,4200,626.0,4200,2.1949839397408537,0.04764965465324611
43,0.68,0.36,0.0,0.59,0.18,0.0,4300,646.0,4300,2.2642449162458695,0.05183884411612166
44,0.56,0.12,0.0,0.58,0.16,0.0,4400,660.0,4400,2.232234227229728,0.05090081272361482
45,0.52,0.04,0.0,0.53,0.06,0.0,4500,666.0,4500,2.1659036433328023,0.051660166742949445
46,0.44,-0.12,0.0,0.57,0.14,0.0,4600,680.0,4600,2.2028910864918414,0.050000001169681785
