,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played
0,0.48,-0.04,0.0,0.01,0.01,0.0,0,0.0,0
1,0.52,0.04,0.0,0.49,-0.02,0.0,100,-2.0,100
2,0.32,-0.36,0.0,0.54,0.08,0.0,200,6.0,200
3,0.44,-0.12,0.0,0.47,-0.06,0.0,300,2.0,300
4,0.56,0.12,0.0,0.45,-0.1,0.0,400,-8.0,400
5,0.52,0.04,0.0,0.45,-0.1,0.0,500,-18.0,500
6,0.56,0.12,0.0,0.44,-0.12,0.0,600,-30.0,600
7,0.6,0.2,0.0,0.43,-0.14,0.0,700,-44.0,700
8,0.52,0.04,0.0,0.48,-0.04,0.0,800,-48.0,800
9,0.56,0.12,0.0,0.49,-0.02,0.0,900,-52.0,900
10,0.52,0.04,0.0,0.42,-0.16,0.0,1000,-66.0,1000
11,0.52,0.04,0.0,0.4,-0.2,0.0,1100,-88.0,1100
12,0.6,0.2,0.0,0.45,-0.1,0.0,1200,-96.0,1200
13,0.6,0.2,0.0,0.5,0.0,0.0,1300,-96.0,1300
14,0.4,-0.2,0.0,0.42,-0.16,0.0,1400,-112.0,1400
15,0.52,0.04,0.0,0.5,0.0,0.0,1500,-112.0,1500
16,0.36,-0.28,0.0,0.49,-0.02,0.0,1600,-114.0,1600
17,0.48,-0.04,0.0,0.48,-0.04,0.0,1700,-118.0,1700
18,0.36,-0.28,0.0,0.41,-0.18,0.0,1800,-136.0,1800
19,0.52,0.04,0.0,0.52,0.04,0.0,1900,-132.0,1900
20,0.56,0.12,0.0,0.57,0.14,0.0,2000,-120.0,2000
21,0.48,-0.04,0.0,0.5,0.0,0.0,2100,-120.0,2100
22,0.68,0.36,0.0,0.52,0.04,0.0,2200,-114.0,2200
23,0.56,0.12,0.0,0.46,-0.08,0.0,2300,-122.0,2300
24,0.4,-0.2,0.0,0.45,-0.1,0.0,2400,-132.0,2400
25,0.28,-0.44,0.0,0.51,0.02,0.0,2500,-130.0,2500
26,0.44,-0.12,0.0,0.54,0.08,0.0,2600,-124.0,2600
