,test_win_rate,test_score,test_ties,train_win_rate,train_score,train_ties,episode,total_score,total_played,train_loss_policy,train_loss_value
0,0.6,0.2,0.0,0.0,-0.01,0.0,0,0.0,0,0.022432725876569748,0.060577020049095154
1,0.32,-0.36,0.0,0.43,-0.14,0.0,100,-16.0,100,0.0035736095873320044,0.14833594024319804
2,0.64,0.28,0.0,0.65,0.3,0.0,200,14.0,200,0.015417041366060954,0.17593069267908445
3,0.48,-0.04,0.0,0.49,-0.02,0.0,300,14.0,300,0.003032641657985649,0.18092413565862492
4,0.56,0.12,0.0,0.38,-0.24,0.0,400,-12.0,400,0.00014172005118732659,0.17938905640683186
5,0.48,-0.04,0.0,0.41,-0.18,0.0,500,-30.0,500,-0.0020496996592351845,0.16138686289884455
6,0.6,0.2,0.0,0.51,0.02,0.0,600,-28.0,600,0.006947240054187125,0.14279740058299084
7,0.44,-0.12,0.0,0.58,0.16,0.0,700,-12.0,700,0.01054994793113202,0.13923950458452475
8,0.52,0.04,0.0,0.48,-0.04,0.0,800,-16.0,800,0.007555833229941531,0.18508812233405528
9,0.48,-0.04,0.0,0.52,0.04,0.0,900,-12.0,900,0.004815022776576015,0.1754822965242348
10,0.6,0.2,0.0,0.4,-0.2,0.0,1000,-30.0,1000,0.0014179372622032,0.14646812872863565
11,0.48,-0.04,0.0,0.55,0.1,0.0,1100,-22.0,1100,0.007309404569760134,0.1711402208482451
12,0.4,-0.2,0.0,0.46,-0.08,0.0,1200,-30.0,1200,0.003891995900676442,0.18696241155915055
13,0.52,0.04,0.0,0.53,0.06,0.0,1300,-22.0,1300,0.007102977319086844,0.14166070193199032
14,0.52,0.04,0.0,0.43,-0.14,0.0,1400,-38.0,1400,0.004465821173857801,0.17785124232058713
15,0.48,-0.04,0.0,0.47,-0.06,0.0,1500,-44.0,1500,0.005200239104831979,0.21495375441319675
16,0.48,-0.04,0.0,0.49,-0.02,0.0,1600,-44.0,1600,0.006090509950474503,0.17624769713248897
17,0.76,0.52,0.0,0.53,0.06,0.0,1700,-40.0,1700,0.008990251648275195,0.16173736841026923
18,0.48,-0.04,0.0,0.5,0.0,0.0,1800,-40.0,1800,0.004604781472550458,0.14276510765483205
19,0.4,-0.2,0.0,0.43,-0.14,0.0,1900,-52.0,1900,0.001187432304669871,0.16492930927175734
20,0.4,-0.2,0.0,0.48,-0.04,0.0,2000,-56.0,2000,0.003507734106989333,0.1648936817775285
21,0.44,-0.12,0.0,0.45,-0.1,0.0,2100,-68.0,2100,0.0013906197171192388,0.1398123037755616
22,0.52,0.04,0.0,0.51,0.02,0.0,2200,-64.0,2200,0.007116782667040918,0.17008622454467223
23,0.48,-0.04,0.0,0.5,0.0,0.0,2300,-66.0,2300,0.0016242007768487944,0.20075432812543953
24,0.4,-0.2,0.0,0.48,-0.04,0.0,2400,-68.0,2400,0.005044278286694873,0.17733448472704177
25,0.52,0.04,0.0,0.46,-0.08,0.0,2500,-78.0,2500,0.0027439196609787297,0.16589194933432294
26,0.64,0.28,0.0,0.43,-0.14,0.0,2600,-90.0,2600,0.0032271964720597393,0.16689375642581508
27,0.6,0.2,0.0,0.53,0.06,0.0,2700,-84.0,2700,0.00895402504531189,0.14916880934168653
28,0.44,-0.12,0.0,0.6,0.2,0.0,2800,-66.0,2800,0.00924114002651679,0.19243591167978533
29,0.48,-0.04,0.0,0.5,0.0,0.0,2900,-64.0,2900,0.00691822231675463,0.18380457941983377
30,0.48,-0.04,0.0,0.61,0.22,0.0,3000,-42.0,3000,0.013155998253564494,0.1565479297889199
31,0.48,-0.04,0.0,0.5,0.0,0.0,3100,-44.0,3100,0.00677537408445465,0.151663260444182
32,0.48,-0.04,0.0,0.5,0.0,0.0,3200,-44.0,3200,0.005259924633119401,0.14676747660594477
33,0.44,-0.12,0.0,0.4,-0.2,0.0,3300,-62.0,3300,0.0017617148046209256,0.17410236657662873
34,0.4,-0.2,0.0,0.47,-0.06,0.0,3400,-70.0,3400,0.0023298788684597217,0.14867824958217007
35,0.44,-0.12,0.0,0.49,-0.02,0.0,3500,-72.0,3500,0.0018460606249889443,0.14505843445940989
36,0.6,0.2,0.0,0.47,-0.06,0.0,3600,-76.0,3600,0.0037801479686713157,0.19253731931287346
37,0.48,-0.04,0.0,0.54,0.08,0.0,3700,-70.0,3700,0.007685659161112825,0.17713048226018652
38,0.4,-0.2,0.0,0.53,0.06,0.0,3800,-64.0,3800,0.00541764693593015,0.17748544123703366
39,0.44,-0.12,0.0,0.45,-0.1,0.0,3900,-74.0,3900,0.0040522194434583336,0.1651114670184347
40,0.6,0.2,0.0,0.46,-0.08,0.0,4000,-80.0,4000,0.004134665964744182,0.14299686754157026
41,0.36,-0.28,0.0,0.56,0.12,0.0,4100,-70.0,4100,0.008504061603598645,0.16054197140421456
42,0.48,-0.04,0.0,0.49,-0.02,0.0,4200,-72.0,4200,0.003990236158481808,0.1440853971048028
43,0.52,0.04,0.0,0.5,0.0,0.0,4300,-70.0,4300,0.003031344651488232,0.17584249006295538
44,0.48,-0.04,0.0,0.39,-0.22,0.0,4400,-92.0,4400,-0.0010977592736709856,0.1919923407230492
